41798
<<<<<<< HEAD
qualify 0.570126
quadratically 0.535698
quadratic_minimization 0.951130
qtssj 1.739234
qtroi 1.882427
qmcid 1.904659
qcidlm 1.965412
pzn 1.164525
pxg 1.517567
pulse 1.072276
publickey 1.625942
pts 0.770456
psym 1.544244
psr 1.071590
pseudopolynomial 1.930217
psccuny 2.128015
prtb 1.198918
protogeni 1.640939
protocol_design 0.915327
prospective 0.847098
proper_names 1.234567
prompts 0.744372
prolebased 1.608683
projectsproducts 1.761875
project_teams 0.928324
proficiency 0.817786
probabilistic_knowledge 1.317230
prob_lem 0.930557
printed 0.851521
principally 0.964794
preservation 0.734592
prematerialization 1.702729
preliminary_experiments 0.845496
prefetching 0.714860
preference_list 1.044197
precludes 0.774926
precious 0.870401
prank 0.803596
prabhakar 1.027088
ppm 0.985634
poweredge 0.991940
power_systems 0.947031
poulovassilis 1.770427
positive_real 1.056930
ported 0.730676
popescul 1.258206
poolview 1.772210
polbooks 2.118806
poincar 1.222632
pmostc 1.917673
pmost 1.890878
plausibility 0.699661
placements 0.888651
pix 1.147247
phrasecom 1.641329
petrovic 0.750097
petros 1.089866
perspouse 1.864522
percentageofwordschangeinstockprice 1.888187
penalty_term 1.185742
peering 0.678036
peakedness 1.223568
pcdf 1.369814
pattern_selection 1.147688
pattern_detection 1.259791
path_based 1.180723
partitioning_algorithm 0.773412
partially_funded 1.324699
partha 1.331942
parsonssci 1.971910
parameter_selection 0.875944
pandemic 0.827485
pageconcept 1.737664
packet_arrivals 0.954792
pacific 1.059586
oval 1.383851
ouyang 0.824094
outin 1.115232
outer_bound 1.011291
outbreak_detection 1.401945
oscillation 0.831749
osborne 1.211833
organisation 0.968009
orbit 0.712170
online_social_networking 0.935402
online_shopping 1.292188
online_interactions 0.799659
onepass 0.678039
onboard 1.010137
oiosj 2.193734
oic 0.976902
oconnor 0.771405
obo 1.199444
objectspecic 1.634568
obese 0.971483
nyse 0.697278
nvi 1.190184
numerical_solution 1.052994
numerical_simulation 0.866024
nullmodel 1.602542
nuclear_power_plant 1.303845
ntrs 1.272577
ntcid 1.719984
nrmses 1.957822
np_complete 1.230966
novelty_detection 1.019443
noshnorthwestern 1.734490
nose 1.199618
noodles 1.097355
nontree 1.892740
nontardy 1.859205
nonsmooth 0.659163
nonrandom 0.558938
nonparticipating 1.120403
nonnetwork 1.647403
nonface 1.718372
nonexistent 0.956925
nonenglish 1.752834
nonemergencies 1.786022
non-trivial 1.308461
noam 1.086702
nmode 1.527210
nmm 1.036280
nightmare 1.519353
newsfeed 0.920392
newbury 1.241969
neurosci 0.793475
network_delays 0.824910
network_applications 0.728923
netprobe 1.819986
netgel 1.682275
net- 1.308108
neighboring_vehicles 1.172453
negotiate 0.988468
necdet 0.912642
neal 0.983302
ndj 1.158159
ncycle 1.698749
ncds 0.751503
nbl 1.145004
natural_hazards 1.200809
nagarajan 0.821743
mutually_reinforcing 0.703667
mutlu 0.565904
murder 1.006791
municipalities 0.783109
multiwords 1.856248
multiprocessor 0.720244
multiplexity 1.095813
multiple_scales 0.830158
multiple_radios 1.387227
multiple_data_sources 1.024213
multidegree 1.567693
multi-user 1.604106
msr 1.036884
msgs 0.897364
msgii 2.113716
msetis 1.711221
mscloud 1.601801
mrvar 1.228937
monotonically_decreases 0.736182
molnar 0.914123
modification 0.717078
mni 1.255265
minw 1.955299
minm 1.544007
minimum_weighted 0.811345
minf 1.604330
mincostcc 1.597441
mikhail 1.217391
microtransitions 1.845956
mhrw 1.641521
meyerhenke 1.871085
metropolitan 1.055470
metricbased 1.863365
methylation 0.638855
message_queue 1.150818
mental_health 1.024816
menlo_park 1.228212
memories 0.907074
memetracker 1.209623
melville 0.961467
mel 0.957562
mdlbased 1.783842
mde 1.009200
mcguinness 1.074749
mcauley 0.915366
mayjuly 1.322394
maxvv 1.639339
maxow 1.869823
maxlinf 1.516223
maxlag 1.871532
maxims 0.917698
maxh 1.892397
maxdeg 1.867202
maxcidlog 2.044003
mausam 0.807483
matsumoto 1.198457
matrix_multiplications 0.872008
matrix_inversion 0.722590
mating 0.836151
matchingpair 2.251184
marrone 0.885935
marker 0.755248
margins 0.631845
manufacturer 1.027434
manual_inspection 0.717224
manna 1.216030
managerial 0.870535
malicious_attacks 1.177226
maiya 0.668593
main_street 1.289021
main_objective 0.919228
mai 1.017772
magnini 1.100739
magazines 1.144093
macrostructure 0.611487
lvi 1.178583
lung_cancer 0.916216
lsmooth 1.688479
lorenz 0.948733
loosely_coupled 1.302836
longitudinal_study 0.995018
longer_term 0.991813
lollapalooza 1.102433
logical_form 1.076910
logc 1.827262
local_sequence_alignment 1.243982
local_connectivity 0.803419
lncid 1.683746
llr 0.801867
literatures 0.589221
linklevel 1.791682
link_farm 1.389286
linguist 0.886539
linear_complexity 0.665441
linear_algebraic 0.454163
lincoln 1.204787
liking 0.916736
lik 0.822650
lielcam 1.501208
lieberman 1.081275
liblinear 1.330412
lexical_analysis 0.820313
leveling 0.896428
lefttoright 1.447332
least_squares_regression 0.910867
leap 1.023481
ldabased 1.535736
lavrenko 0.326481
latitudelongitude 1.582538
lation 0.837273
largerscale 1.456362
lanczos_method 0.875741
lancaster 0.910162
laborious 0.748731
labeled_instances 1.241176
kwk 0.601990
kss 1.323274
kspriv 1.839588
kraetzl 1.910263
kluwer_academic_publishers 1.045293
kkm 1.014233
kivela 1.297291
kinetics 1.099250
khkt 2.013603
key_frame 1.184316
kelvin 1.240074
kbct 1.158616
kawadia 1.766299
katia 1.088301
kathleen 1.191928
karlsson 1.315632
kapoor 0.819829
kak 0.853718
junctions 0.920994
juan 0.910366
jsangs 1.743211
jpj 1.225808
journey 1.235965
jointnmf 1.734826
joint_estimation 1.262165
jodcs 2.063010
job_performance 1.397532
jigsaw 1.006551
jester 0.953816
jenny 1.424979
jemin 1.503065
jeanjacques 2.002748
jaj 0.816907
jac 1.318557
itembased 1.900155
isr 1.144914
isp 1.285245
isocontours 1.291282
isicj 1.819059
iscram 1.340371
ireland 1.185626
invitations 1.020772
investigators 0.678697
investigative 0.941726
intraplatoon 1.635373
interviewees 1.068784
intervene 0.810605
interorganizational 0.851813
interna 0.842756
interintra 1.665432
intelligence_analysis 0.853323
integrating_multiple 0.935078
integrals 0.620522
integer_linear_programs 0.677873
input_signal 0.897493
ingredients 0.702055
informationaware 1.649254
infectivity 0.620125
inductively 0.536663
indicator_variables 1.009494
indexing_method 1.008479
inclination 0.842974
impatience 1.127011
immunology 0.682347
illuminate 0.972732
illinoisclassifier 1.445676
iic 0.903003
ideologies 0.844094
ice 0.967418
icalp 1.048723
hyxi 1.865236
hypercubic 1.077234
hurtado 0.906235
httpst 1.878243
httprsif 1.849802
httppems 1.942334
hsa 1.394338
housing_market 1.265236
hours_per_week 1.236290
horseguards 1.314024
horse 1.233373
homomorphism 0.637760
hofstede 0.816357
hoff 1.302526
hoax 1.124337
hmx 1.015217
hkic 1.736715
hiv 0.808725
historical_information 0.806702
hindered 0.787531
highq 1.125852
highprecision 1.521480
highly_effective 0.979543
hierarchical_bayesian 0.764294
heterophilous 1.253761
heiders 1.363912
hebrew 0.800542
heather 1.099229
heath 1.028926
hazard_rate 0.854415
harwood 1.166368
hart 1.058920
harms 1.288464
harmonic_function 0.974920
hangzhou 0.995661
handy 0.975230
handheld_devices 0.901665
hamming 0.683577
halifax 1.091466
haifeng 0.683633
haddadi 0.860183
hachey 1.103701
haar 0.780385
gxi 0.966385
guimaraes 1.019671
gth 0.981211
gscholar 1.890721
group_based 1.082846
grn 1.782820
greatly_reduces 0.974381
grassroots 0.964566
graphtheoretical 1.569564
gomezgardenes 1.957030
global_optimum 0.982149
global_optimization 0.683683
gi_gi 1.026904
gfhf 1.819578
gexf 1.793405
geds 0.837944
gcidt 1.591623
gbps 0.838300
gang 0.899762
galtonwatson 1.632489
galstyan 0.681023
gallery 1.130085
gac 1.125729
fvi 1.150829
fswt 1.861878
frequently_occurring 0.972024
frequentitems 1.643910
frequent_items 1.065060
freedman 1.069218
framework_programme 1.490922
fourarea 1.874353
forwarding_nodes 0.795416
forwardbackward 1.512807
formance 1.170719
formal_description 1.102352
forged 0.933937
foot 1.303708
focusses 0.844410
flock 1.043759
fishers 0.904440
firsthand 1.159540
first_responders 1.196063
financial_status 1.192132
file_size 1.155113
fighting 1.133708
ferent 1.285442
feedbased 1.726492
fdr 0.881416
faithfully 0.788378
fairly_straightforward 0.804589
fading_channel 1.189074
faction 0.847830
face_images 1.450948
fabricio 1.064487
fabio 1.112113
eyi 1.169829
extremist 0.947549
extraverted 0.739217
extrapolated 0.764988
extractive 0.573081
external_perturbations 1.007954
expo 0.846354
expertise_retrieval 0.991212
exn 1.645257
exiting 0.800519
exercised 0.730496
everybody 0.888106
events_occurring 0.945903
evaluators 0.908721
etw 1.245517
escriva 1.124716
error_propagation 0.629532
equity 0.971164
eps 1.124650
eprint 0.992871
ensuing 0.720567
energyecient 1.662614
endpoint_detection 0.922132
encounterbased 1.634048
encapsulate 0.715338
emulates 0.833683
ems 1.095104
emotional_states 1.330187
emission_probabilities 0.745561
emerging_trends 0.858251
embracing 1.107921
emanes 1.614936
elj 0.904674
eleven 0.904183
elasticity 0.706283
elapses 0.752041
el_gamal 1.084919
eiron 1.187163
eigenspokes 2.015678
eigenmode 0.895953
effected 1.136065
edz 1.629500
edit_history 1.235454
edge_weighted 1.048414
ecvq 1.719312
ecstretch 1.775866
ecoutlier 1.498133
ecidectiveness 1.459442
eci 1.122539
east_coast 1.310382
dynamic_weighting 1.059949
dyadic_interactions 0.616357
dxt 0.870753
dutta 0.823517
dustminer 1.531790
dublin 1.292275
driveway 1.118371
drawings 0.841712
dozen 0.827073
dow 0.939862
doublelayered 1.768728
dormant 0.936007
dongen 0.878622
domenico 1.096867
domain_independent 0.897831
domain-specific 1.529702
dolphins 0.928358
docx 0.670836
document_similarities 1.254417
document_content 0.944034
dna_sequence 0.978690
diversified 0.529045
diverging 0.996363
distributional_similarity 0.806443
distributed_teams 0.744934
distributed_sensor_networks 0.992319
distributed_sensing 1.101658
distributed_memory 1.371897
distance_metric_learning 1.272722
disputes 0.903249
dislike 1.106252
discrete_fourier_transform 0.967296
discouraging 0.925052
discounts 0.768545
directives 0.777327
diluted 1.026246
diffusionconvolutional 1.442746
differed 0.982753
diering 0.522482
diego 0.715753
dian 0.952494
detroit 0.952346
deteriorate 0.805994
dependency_structures 0.797280
dense_clusters 0.676678
dence 0.582625
demultiplexing 0.597450
demographic_data 0.716871
degrading 0.816096
degeneration 1.177989
deepen 0.781006
deduction 0.560993
decrypt 0.956987
declares 0.988545
declaratively 0.576100
declarations 0.821736
decbst 1.966761
dayal 1.067348
datasetspecic 1.695044
data_reduction 1.014472
customs 0.880658
currentow 1.681061
culturally 0.887847
cto 1.168917
ction 0.684701
cssp 0.706198
csrnet 1.450343
csocial 1.768616
crp 1.033731
crosstopic 1.704530
crosspage 1.705831
crossevent 1.876666
crew 0.978777
craswell 1.136183
crashworthiness 0.639735
cra 1.249515
cpos 0.859508
cowan 1.226856
coveragebased 1.698403
covariates 0.507715
coupled_oscillators 1.034346
costeective 1.801767
correlation_properties 1.096518
corner_points 0.994299
cornell_university 1.284140
cormen 0.708583
control_plane 0.968143
continental 0.908391
contextspecic 1.494767
contamination 0.743804
consulted 1.022799
consistently_outperform 0.922016
conservation 0.613486
consecutive_days 0.910556
connor 1.231011
conj 0.982270
conflict_resolution 1.009238
conductances 0.819589
conceptdrift 1.653791
concept_hierarchies 0.873958
computing_paradigm 0.689768
computationally_tractable 0.501691
computationally_infeasible 0.601771
compromises 0.836781
complementing 0.822637
complementarity 0.635855
compares_favorably 1.310670
comparative_evaluation 1.095313
communicators 0.647239
comms 0.708829
combin 0.930784
comb 1.301184
collectors 0.853908
collectivism 1.229339
coherency 0.566719
coevolve 0.781300
coca 1.235816
coarse_grained 0.571214
cluster_number 0.878831
clueweb 1.649225
closures 0.907585
clifford 1.342142
classification_models 0.910123
cji 0.938653
civilians 1.025449
cidwq 2.217058
cidvt 1.881315
cidve 1.510656
cidts 1.807566
cidtcid 1.977559
cidid 2.111336
ciddv 1.740315
cidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcidcid 2.135902
cht 1.304067
chronological_order 0.877337
chocolate 1.278513
checksum 0.664690
checker 1.048566
chatterjee 0.919881
chaining 0.717109
certication 1.487016
central_limit_theorem 0.922574
cellphones 0.855043
cell_biology 1.170265
cease 0.952638
cctt 0.820215
ccsl 1.369836
ccny 1.082336
causal_relationships 0.903768
cattuto 1.836651
categorical_values 0.868818
catanzaro 1.042066
catalog 0.874703
caseolap 1.702553
cascadesize 1.686888
carbon_sequestration 0.767033
capture_recapture 0.971740
canvas 1.123050
candidate_pruning 1.153468
cand 0.862293
camouage 1.608224
caltrans 0.862053
cally 0.781785
callee 0.857657
callback 0.986123
cacid 1.918893
caching_strategies 0.720325
bwartd 2.034233
buzzed 0.993308
buttons 1.018571
burning 1.005906
bundlecache 2.005956
bunch 1.062302
buhrmester 0.954005
buddys 1.179312
buckley 1.230754
broke 0.909764
breaking_down 0.900310
bread 0.805972
bradley 1.075897
bpref 1.965111
boydgraber 1.877495
bowl 0.927329
boundary_condition 0.976143
borne 0.744514
boom 1.216960
bookstore 1.053821
bonding 0.787988
bolstad 1.019851
bolin 1.289270
blackhole 1.050302
bitstring 0.941328
biological_functions 1.061676
binary_data 0.816072
binaries 0.675861
bikhchandani 1.034318
bifurcation_point 0.958238
biased_sampling 0.770358
betweenteam 1.592839
bestt 1.717932
best_practices 0.951090
berg 0.897589
beef 1.059530
bearman 0.847491
bazaar 0.975373
bayes_rule 0.902023
baseball 0.853998
bart 1.210104
barab 1.018189
bandwidth_consumption 0.704511
balboa 1.321025
babaioff 1.886549
axy 0.782875
aux 0.771732
autonomic 0.933968
automaton 0.755266
automatically_learned 0.958109
automatically_extracted 0.982774
authorowners 1.754975
authenticate 0.829638
ausiello 0.904835
ault 1.267570
auditioning 0.983852
audit 0.687060
attrition 0.846787
attends 1.067661
attachments 0.809206
atkcid 1.904396
aths 1.546137
atheist 1.200549
associationbased 1.885192
assisted 1.296160
aseieee 1.765283
arrange 0.873126
archiving 0.551253
aqi 0.903039
approximate_solutions 0.906242
approacha 1.886495
applica_tions 1.232102
apples 0.813642
appearancebased 1.502609
anshelevich 1.576388
anniversary 0.947568
angeli 0.805739
ands 0.944542
andreas 1.142846
andcid 1.692280
and/or 1.356346
anchoring 0.945538
analysis_reveals 0.936304
amp 1.024616
ammar 1.153824
alpss 1.643510
allp 1.591958
allocation_problem 1.124624
alignmentbased 1.815156
algsum 1.838591
algo_rithms 1.045481
albneu 2.012346
airy 1.234101
aijd 2.111001
aiding 0.974338
agr 1.453448
agichtein 1.693399
affordances 0.672989
affiliated 0.965968
advise 0.881437
adversarys 1.745603
adventure 1.212511
advancements 0.674786
adolescent 1.140176
admitting 0.927095
adaptive_routing 0.977574
activist 0.814786
achieving_high 1.203545
accumulative 0.958621
accrue 0.548817
accomplishment 1.103098
abyss 1.201899
abound 0.693062
abnormally 0.897420
aba 1.259186
aary 1.716988
25 0.959849
zoltan 0.886847
zmax 1.079372
zkwi 2.021561
zkdj 1.936228
zjt 2.025278
ziyu 0.805385
zdzz 1.959045
zadimoghaddam 1.871531
yvi 1.368288
yoon 0.726997
yjyi 1.911913
yiu 1.073517
yhi 1.327126
ygi 1.779424
yen 0.771580
years_later 1.287026
yangqiu 1.840303
yamada 0.982244
yale 0.872280
xurn 1.872988
xkk 1.427956
xiii 0.774535
xeon 0.933465
wti 0.546799
wps 0.872747
worsens 0.751006
workstation 0.911976
workforce 0.719551
workermediation 1.746740
wordalignment 1.759671
wnmf 1.372223
wjk 0.702842
wizkp 1.975073
witnesss 1.514355
wiring 0.634087
wileyinterscience 1.729692
wiebe 1.262998
whos 1.142133
whnd 0.795682
whitening 0.788554
wherever 0.823287
wellfounded 0.738436
weerkamp 1.820865
websci 1.771151
web_based 1.396573
waveforms 0.689961
watt 1.286358
waterfall 1.286335
washington_dc 1.154899
wako 0.613593
vxj 1.876977
vth 0.898980
vst 0.923380
vries 1.124096
voting_scheme 0.874226
vom 0.555970
voicemicrosowindowsmicrosowindowsvbs 2.236285
vmermrandomlscuncertainty 2.051114
vmax 1.071487
vlnsrand 1.911470
vlnsmax 1.857002
vjq 1.864665
vjpvt 2.160389
viterbi 0.847545
visual_representation 0.787515
virtual_spaces 0.923057
virtual_communities 0.999221
video_camera 0.928950
vertex_disjoint 0.717475
vehicle_tracking 0.961992
vehicle_detection 0.924365
veh 1.087863
vary_considerably 0.766846
van_kreveld 1.527759
value_iteration 0.940307
vaccine 0.741180
vaccination 0.732051
uth 1.129700
useradapted 1.846928
userad 1.517596
user_ratings 0.846238
user_level 0.856353
user_interface_design 0.824863
user_clicks 0.781761
user_actions 0.813796
upperbounded 1.719992
updatepred 1.793704
unselected 0.757209
unreasonable 0.592384
unported 0.727413
unknown_environments 1.479178
unication 1.007276
unfollowing 1.189131
understands 0.673375
understandings 0.762169
unconrmed 1.547616
unanswered 0.849961
umich 0.690550
tyler 1.260690
twoplayer 1.658448
tweety 0.885667
turkit 1.745014
tunisia 1.033217
tufts 1.387815
ttr 0.760343
truthful_bidding 1.001085
trustworthy_computing 0.840310
trust_transitivity 0.894875
truncation 0.667713
troll 0.808490
trihits 1.710435
triggs 1.319985
triggerdriven 1.570271
tremendously 0.925370
transition_matrices 0.958042
traintest 1.572137
traffic_congestion 0.916471
tpami 1.698683
topvenue 1.848231
topological_structures 0.640198
topic-specific 1.679259
toolboxes 0.864560
tnew 1.896813
tkcid 1.899672
tix 0.900747
tissue 0.955682
timed 0.952198
timeaggregated 1.615784
tik 1.051118
tightknit 1.231001
tightest 1.015239
thirdly 0.890310
theblaze 0.750893
tgticid 1.910428
texttotext 1.597281
texttext 1.617783
textdriven 1.807669
text_collections 0.948915
testbeds 0.695736
test_statistic 1.015326
terrorists 0.946213
terrence 1.205574
ternary 0.579341
ter 0.510400
teq 0.995816
teammate 0.746925
tdc 1.184080
task_based 1.028247
tarecsearch 1.685847
tanahashi 0.625910
tagiku 2.014137
tabs 0.937680
szewczyk 0.898589
szekely 1.142310
syria 1.200924
synopses 0.678435
symbiosis 1.243618
swiss 0.686881
swedish 0.872378
swearingen 0.793287
swamiieee 1.860839
svetlin 1.090157
suzuki 0.954050
supervisorsubordinate 1.804405
supan 1.150385
suits 0.979996
suffering 0.980573
sudarshan 1.229325
subtrajectory 1.687929
substantively 0.868562
subregions 0.850680
subpopulation 0.547164
subjectively 0.660449
stutzbach 1.588608
structured_queries 0.990965
structural_svms 1.036138
strehl 1.174702
storefiles 1.723773
storage_overhead 1.011977
stone 1.197599
stock_markets 1.024109
sto 0.822628
stmt 2.239980
stevenson 1.036179
statistical_features 0.843994
stateless 0.839763
stasko 0.949147
stalnaker 1.248865
staircases 1.158448
stacking 0.922379
ssi 1.339406
ssa 1.111301
srk 1.066954
sperber 1.091943
spatiotemporal_patterns 0.663271
spatio-temporal 1.537991
spatial_temporal 0.869157
sparsest_cut 0.821056
sparks 1.031517
spaniol 1.466777
sourcessasp 2.169523
sourcesj 1.827621
sorted_lists 0.923452
sonar 0.827732
solicit 0.828469
socioeconomic_status 0.972410
social_agents 0.943829
smi 1.209041
smartphonebased 1.669131
sity 1.027816
sister 0.958763
simssi 1.572632
silhouettes 1.076782
sigops 0.764622
sigman 1.045737
siai 0.831497
shued 1.623970
shoulders 1.137206
shortages 0.856932
shmueli 0.855768
shir 0.830042
shineall 1.705371
shields 1.051831
shield 0.744300
sheldon 1.324285
shawetaylor 1.898299
shakespeare 0.958216
seus 0.731000
setedge 1.729951
serguei 1.044396
sequential_pattern 0.865365
sentence_ranking 1.228567
sentence_extraction 1.414455
sensor_fusion 0.904201
sensing_modalities 0.721018
sendbuf 2.172793
semilog 1.543073
semantically_relevant 0.810580
semantically_coherent 0.725647
seibold 0.961942
sedj 1.920045
security_protocols 0.959856
secrecy 1.016682
scientific_fields 0.875177
schutze 1.114476
schmitz 1.205531
schmitt 1.265431
scat 1.386604
scarce_resources 0.729641
scandidate 2.132267
sbt 0.990042
sav 1.399251
satoshi 1.345862
sato 1.007382
satisability 1.551518
sapp 1.006593
samukhin 1.866836
sampling_strategies 0.749404
sampler 0.827118
salt 1.393119
salespardo 1.746533
salakhutdinov 1.150150
sailing 1.233567
sai 0.940088
rxt 1.430881
rvi 1.170886
ruling 0.803584
rtt 1.206126
roughgarden 0.827644
rong 0.869213
ronald 1.001869
rollernet 1.755618
roland 1.219994
rocket 1.000260
roceedmission 1.894860
robles 1.311199
robbery 1.061299
rissanen 1.051785
risi 1.414083
ring_network 1.282904
rilo 0.924899
richgetricher 1.641367
rgy 1.618424
reza 1.019061
reynolds 1.177668
rewriting 0.812609
reverts 0.876438
retract 0.942967
resultset 1.290800
resource_constraint 0.696981
republicans 1.061338
representational 0.697664
repre 1.103679
rendezvous_point 1.213228
reliability_prediction 0.669776
relevance_propagation 1.211025
releasing 0.786869
relationship_quality 1.073219
rejecting 0.808874
regulatory_interactions 1.097415
regulates 0.939980
reestimate 1.644670
reds 0.953297
recreated 1.141147
recomputation 0.937903
recommendation_techniques 1.233670
recognition_accuracy 1.154896
reche 0.994394
receivedm 2.105486
recast 0.980894
re- 1.327418
rdn 1.012099
ratkiewicz 1.775522
rate_equation 0.807151
ranksvm 1.785821
randomgraph 1.791543
ramshaw 1.297883
raissacse 1.932894
rager 1.305165
radu 1.084454
radpvpc 1.449336
rad 0.884929
racz 1.229800
queuelengthbased 2.151438
queued 0.777810
query_term 0.939505
quasiclique 1.792586
quartile 0.969773
qualitative_evaluation 1.065733
quake 0.981671
qti 1.012711
qo 1.109342
qdesired 1.715891
pzdt 1.950737
puzzling 0.846840
pulling 0.940442
public_domain 0.887577
ptp 0.873680
ptc 1.151462
psychologist 1.034346
psorakis 1.781217
psgd 1.683237
pseudor 1.821255
prwij 1.974310
profoundly 0.990007
profiling 0.695457
procon 0.960962
procidle 1.563294
procaccia 0.927712
problem_difficulty 0.958192
previous_papers 1.242994
preview 0.930625
presume 0.844914
prespecify 1.497066
preserving_privacy 0.954207
prefs 1.591770
predictive_validity 0.807032
prediction_markets 1.127925
prediction_accuracies 0.836576
precomputing 1.114177
precedent 0.765558
prasanna 1.012484
pqw 1.842807
ppr 0.810703
ppppppp 2.268616
ppis 0.916603
ppc 0.956552
postagged 1.652172
positive_integers 0.605972
posing 0.898277
pon 0.743333
podcasting 1.141519
poc 1.321666
poa 0.924772
pnb 0.711388
pna 1.143073
pluggedin 1.306074
platt 1.129176
platooning 1.103788
plateau 0.728402
planar 0.667355
pkj 1.625391
pjs 0.852759
pivoting 0.859749
piscataway 1.021826
pisa 1.133356
pipe 1.170393
pinghui 1.679477
photoshop 1.145305
phonebased 1.568998
philippe 0.990294
phenotypes 0.626399
pgg 0.891145
pfeiffer 0.803383
peters 1.105447
personalizing 0.846730
personalized_services 1.145643
perrig 1.301090
permute 0.708270
perfect_matching 1.288060
peres 1.083417
pending 0.999498
pbe 0.910719
paxson 0.938508
patriots 0.682610
patra 1.260907
pathsearchradius 1.897757
past_experiences 1.086581
parameter_sets 0.838710
parameter_learning 0.898324
parallel_programming 1.065629
parallel_execution 1.177263
pane 0.890314
pandey 0.755569
palpanas 1.714597
palchykov 1.727052
painted 1.263325
pageranklike 1.605506
packet_transmissions 0.805661
packet_delivery 0.924350
packed 0.891899
paciderns 1.502599
ozsu 2.037873
owbased 1.624267
overviews 0.818955
oversight 0.828178
overreaction 0.906957
overestimated 0.847736
overage 0.923555
ove 1.337765
outsider 0.797015
outdegvi 2.017946
otodv 1.822563
oscillate 0.672866
origindestination 1.317824
origami 0.759573
ordered_set 1.153801
optics 0.960720
open_set 1.264866
opacity 0.838563
onwards 0.859248
ontology_learning 0.921945
onn 0.857677
onlogn 1.774926
online_communication 0.986075
online_auction 1.234964
omits 0.870584
omissions 0.732119
omahony 1.479497
olympic 1.109252
ols 0.857167
ohlda 1.577830
obscured 1.002655
obsacidcid 1.892772
object_relationships 1.006622
object_oriented 1.376997
nyberg 1.425115
numerical_methods 0.677343
nuggets 0.680167
nsr 1.206718
nrl 1.242240
npn 0.961033
npic 1.025178
novotny 1.417334
novice 0.899663
notied 1.668155
notes_comput 1.209266
nos 1.454235
northwest 1.042637
nonsketch 1.981148
nonseparable 0.850137
nonselfreported 1.911703
nonrelevant 0.923805
nonmalicious 1.605658
nonlinear_coupling 0.968681
nonimportant 1.483956
nondominated 0.905653
noncommitted 1.649842
nonadjacent 0.546145
noisier 0.767768
nogainopt 1.652607
nodewise 1.526274
nodesedges 1.548800
nocedal 0.871035
nlikb 1.617615
njobs 1.570935
nishing 0.671393
nip 1.029261
nevo 0.996562
neverending 1.266850
neutralization 0.958171
networking_conference 1.233859
networkanalytics 1.750401
network_simulator 1.031076
network_services 1.059102
network_resilience 0.895723
network_layers 0.875577
neptune 1.497569
negating 0.981520
nected 1.655305
nearly_optimal 0.929352
ncidd 1.225518
nava 0.937431
natural_phenomena 0.835524
nationalities 0.716609
namestates 1.521793
namefreq 1.715362
namedentity 1.606494
namebased 2.052614
naivecachenc 1.738006
naghibolhosseini 1.976418
mutual_trust 1.233147
mutation 0.904258
mushroom 1.103219
munication 1.434063
multiuser_wireless 1.028040
multiset 0.512228
multiplies 0.857319
multiple_source 1.129266
multiinterface 1.834819
multidimensional_spaces 0.776306
mscad 2.124190
mout 1.392040
morrison 1.225147
morality 0.861110
mops 1.222972
moonlight 1.419791
monk 1.286262
monahan 1.394622
moeller 1.230130
moe 1.277472
modha 1.284155
mnuclear 2.265979
mmcp 1.820118
mmax 0.935186
mlls 1.792271
minmax 0.917837
minimum_delay 0.928376
minimal_models 0.949637
mingwei 1.001436
minets 1.265708
minarborescence 1.771894
mina 1.075375
mill 1.616885
military_intelligence 1.075508
microscope 0.660876
micropayments 0.834782
michalis 1.134932
metzler 0.747323
message_transmission 0.758714
message_exchange 1.124884
merialdo 1.760369
memorybased 1.563178
memetracking 1.907789
medium_access_control 1.289283
meantime 1.012882
mea 0.730943
mccurley 0.956404
maxy 1.028164
maxm 1.585580
maxlog 2.110209
maximal_clique 0.697521
maxhealth 1.801389
maxedge 1.991756
max_min 1.174057
matvq 2.021894
matrix_operations 0.894864
mathematical_sciences 0.861264
matchinghmmours 2.049185
markup 0.593250
marginalized 0.625539
marcu 0.774928
mapmatching 1.454848
manualgt 1.713132
mantel 1.017933
maltz 1.095951
malone 1.176806
malfunctioning 0.848385
mal 0.633256
mahwah 1.060707
macroeconomic 0.930499
macdonald 1.261546
mac_protocols 1.031358
luhmann 0.770574
lowranked 1.748869
lowerlevel 1.498843
low_resolution 0.926781
lottery 1.089622
longman 1.284247
longlived 0.897014
lonardi 1.002213
lol 1.022740
logloss 1.675200
loglogistic 0.845435
loglinear 1.051715
logistical 0.741633
logi 0.772970
locationdriven 1.744632
locates 0.963760
local_storage 1.043061
local_optimization 0.809818
lnai 1.027529
llpy 1.832181
lipschitz 0.727413
linlog 1.880146
linkstate 1.750769
linearly_interpolated 0.770578
limited_memory 1.051555
lii 0.748685
lethality 0.745340
lerone 0.691773
lenovo 0.983920
leiserson 0.890339
lefthandside 1.764192
left_corner 1.281026
learning_curves 0.861199
leaderfollower 1.561396
lawrie 1.217258
lastness 1.556537
lambert 1.055489
lakers 0.683392
lakehurst 1.123688
labianca 0.883897
labelsaccuracy 2.122361
labeled_graph 1.097309
kvm 0.675272
kuramochi 0.793856
kspg 1.020173
kround 1.793986
krishnan 0.956763
krebs 1.318046
krakw 2.220879
kobe 0.765340
knee 0.820685
knapsackgreedyunrestricted 2.061293
klimt 0.793540
kkt_conditions 1.112824
kinferred 1.779897
kik 0.820185
kernel_functions 0.732850
kent 1.224490
